date,mechanical_no_results,towel_drill_3x,eyes_close_strike_3x,toe_heel_center_3x,jump_the_ball,wedge_ladder_3x,crazy_shit_1x,one_handed_pitch_3x
2026-02-01,20.0,4.0,3.0,2.0,,,,3.0
2026-02-02,80.0,3.0,,,,1.0,,3.0
2026-02-04,50.0,,,,,,,
2026-02-05,30.0,,,,,,,
2026-02-06,30.0,,,4.0,,2.0,,
2026-02-11,40.0,,4.0,,2.0,2.0,,2.0
2026-02-13,70.0,,,,,,,
