date,three_foot_drill,guess_the_slope,lag_drill
2026-02-02,3.0,3.0,2.0
2026-02-03,1.0,,
2026-02-05,1.0,,
2026-02-11,3.0,,
2026-02-14,2.0,2.0,2.0
